id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at
1,"Kiemele, Cody",10/10/25,79.84102,11.02556,-1.82492,ChangeUp,Sweeper,NA,173580.0,5e2f8d50-a629-11f0-ae75-978fb1879089,2025
2,"Cohen, Andrew",2025-10-17,82.48142,-17.10296,7.28142,Slider,Sweeper,"Cohen, Andrew",2025-10-20 03:12:54.302592,55cdba80-abbd-11f0-89e1-4103db18a83a,2025
3,"Cohen, Andrew",2025-10-17,82.09567,-13.39804,8.09725,Slider,Sweeper,"Cohen, Andrew",2025-10-20 03:12:54.302592,8365a250-abbd-11f0-89e1-4103db18a83a,2025
4,"Cohen, Andrew",2025-10-17,82.36127,-11.9028,3.68634,Slider,Sweeper,"Cohen, Andrew",2025-10-20 03:12:54.302592,bfd48530-abbd-11f0-89e1-4103db18a83a,2025
5,"Frey, Chase",2025-10-03,79.76291,4.75638,0.6537,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,5d921fa0-a0a9-11f0-ab93-d3d7d90e7a19,2025
6,"Frey, Chase",2025-10-03,80.05687,7.38815,0.90441,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,a5001a90-a0a9-11f0-ab93-d3d7d90e7a19,2025
7,"Frey, Chase",2025-10-03,79.96886,2.35008,-0.22606,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,e88346c0-a0a9-11f0-ab93-d3d7d90e7a19,2025
8,"Frey, Chase",2025-10-03,80.68395,8.29205,5.23839,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,0bc5eb10-a0aa-11f0-ab93-d3d7d90e7a19,2025
9,"Frey, Chase",2025-10-03,78.36369,3.99827,-1.95847,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,15659a30-a0aa-11f0-ab93-d3d7d90e7a19,2025
10,"Frey, Chase",2025-10-11,77.6797,7.05146,-2.53622,Sweeper,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,611fde50-a70c-11f0-942a-a51a1eb7334d,2025
11,"Frey, Chase",2025-10-11,77.18349,6.34225,3.93445,Sweeper,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,a2813bf0-a70c-11f0-942a-a51a1eb7334d,2025
12,"Frey, Chase",2025-10-11,76.15095,7.53906,1.33764,Sweeper,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,ac961b10-a70c-11f0-942a-a51a1eb7334d,2025
13,"Frey, Chase",2025-10-11,78.47279,5.87855,0.76764,Sweeper,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,197e0cb0-a70d-11f0-942a-a51a1eb7334d,2025
14,"Frey, Chase",2025-10-11,79.19854,5.77095,0.71035,Sweeper,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,2380ea70-a70d-11f0-942a-a51a1eb7334d,2025
15,"Frey, Chase",2025-10-18,80.24493,1.77858,-2.23665,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,1bb42d80-ac66-11f0-aabc-cd59143e66a4,2025
16,"Frey, Chase",2025-10-18,79.09218,4.74634,1.08504,Cutter,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,84214560-ac66-11f0-aabc-cd59143e66a4,2025
17,"Frey, Chase",2025-10-18,78.25887,5.73658,0.48654,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,473928f0-ac68-11f0-aabc-cd59143e66a4,2025
18,"Frey, Chase",2025-10-18,79.01836,-0.17287,3.54795,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,5150ee40-ac68-11f0-aabc-cd59143e66a4,2025
19,"Frey, Chase",2025-10-18,77.28335,5.08851,0.11929,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,6cbb8410-ac68-11f0-aabc-cd59143e66a4,2025
20,"Frey, Chase",2025-10-18,77.82809,5.35496,-0.69724,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,77f33850-ac68-11f0-aabc-cd59143e66a4,2025
21,"Frey, Chase",2025-10-18,79.09218,4.74634,1.08504,Slider,Slider,"Frey, Chase",2025-10-20 03:13:52.413381,84214560-ac66-11f0-aabc-cd59143e66a4,2025
22,"Gregory, Billy",2025-10-02,90.01292,18.56773,13.72603,Sinker,Fastball,"Gregory, Billy",2025-10-20 03:14:30.336085,051629a0-9fde-11f0-85e9-e9560c876798,2025
23,"Gregory, Billy",2025-10-02,82.97536,3.24059,11.6454,Cutter,Slider,"Gregory, Billy",2025-10-20 03:14:49.934764,536b6a70-9fde-11f0-85e9-e9560c876798,2025
24,"Gregory, Billy",2025-10-02,82.44899,-1.10803,5.67559,Cutter,Slider,"Gregory, Billy",2025-10-20 03:14:49.934764,97c23a50-9fde-11f0-85e9-e9560c876798,2025
25,"Gregory, Billy",2025-10-02,80.49334,0.18232,4.22154,Cutter,Slider,"Gregory, Billy",2025-10-20 03:14:49.934764,e7cb1e90-9fde-11f0-85e9-e9560c876798,2025
26,"Gregory, Billy",2025-10-10,82.67504,3.70433,6.92926,Cutter,Slider,"Gregory, Billy",2025-10-20 03:14:49.934764,27607900-a625-11f0-ae75-978fb1879089,2025
27,"Gregory, Billy",2025-10-10,83.01561,5.86398,11.93253,Cutter,Slider,"Gregory, Billy",2025-10-20 03:14:49.934764,f065bca0-a627-11f0-ae75-978fb1879089,2025
28,"Gregory, Billy",2025-10-17,83.6334,-1.82102,2.05063,Slider,Slider,"Gregory, Billy",2025-10-20 03:14:49.934764,7ee39210-abbc-11f0-89e1-4103db18a83a,2025
29,"Gregory, Billy",2025-10-02,80.2819,20.55533,7.33126,Cutter,ChangeUp,"Gregory, Billy",2025-10-20 03:15:06.304472,89f7cd40-9fde-11f0-85e9-e9560c876798,2025
30,"Kiemele, Cody",2025-10-02,81.57706,13.5119,-0.02335,ChangeUp,Sweeper,"Kiemele, Cody",2025-10-20 03:17:04.524722,72c338a0-9fe1-11f0-85e9-e9560c876798,2025
32,"Lewis, JT",2025-10-02,78.96092,-15.7328,6.30752,ChangeUp,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,80593d50-9fe3-11f0-85e9-e9560c876798,2025
33,"Lewis, JT",2025-10-02,78.45904,-16.36682,0.76075,ChangeUp,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,95e5e6f0-9fe3-11f0-85e9-e9560c876798,2025
34,"Lewis, JT",2025-10-02,79.23272,-15.13776,8.40693,ChangeUp,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,d35745b0-9fe3-11f0-85e9-e9560c876798,2025
35,"Lewis, JT",2025-10-02,78.59273,-15.10564,5.9589,ChangeUp,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,2131d840-9fe4-11f0-85e9-e9560c876798,2025
36,"Lewis, JT",2025-10-02,79.35524,-14.93131,5.78055,ChangeUp,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,3ffde890-9fe4-11f0-85e9-e9560c876798,2025
37,"Lewis, JT",2025-10-10,77.37958,-9.83961,6.18055,ChangeUp,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,b3b6a600-a633-11f0-8809-a53d21e14008,2025
38,"Lewis, JT",2025-10-10,78.43992,-15.22706,4.72189,ChangeUp,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,102e8600-a634-11f0-8809-a53d21e14008,2025
39,"Lewis, JT",2025-10-10,77.49759,-12.38646,3.41662,ChangeUp,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,20379870-a634-11f0-8809-a53d21e14008,2025
41,"Lewis, JT",2025-10-10,79.42073,-10.53414,3.84843,Sweeper,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,422d7170-a634-11f0-8809-a53d21e14008,2025
42,"Lewis, JT",2025-10-10,78.06162,-11.82776,3.50366,ChangeUp,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,5c3da760-a634-11f0-8809-a53d21e14008,2025
43,"Lewis, JT",2025-10-10,79.42073,-10.53414,3.84843,ChangeUp,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,422d7170-a634-11f0-8809-a53d21e14008,2025
44,"Lewis, JT",2025-10-17,78.74491,-16.1169,5.12323,ChangeUp,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,29eb9a00-abb2-11f0-89e1-4103db18a83a,2025
45,"Lewis, JT",2025-10-17,76.66092,-17.91466,5.96244,Sweeper,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,3e050490-abb2-11f0-89e1-4103db18a83a,2025
46,"Lewis, JT",2025-10-17,74.08352,-14.75957,4.75504,Sweeper,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,b9303cc0-abb2-11f0-89e1-4103db18a83a,2025
47,"Lewis, JT",2025-10-17,77.58224,-15.5082,3.87181,Sweeper,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,38f82e90-abb3-11f0-89e1-4103db18a83a,2025
48,"Lewis, JT",2025-10-17,79.74966,-13.08867,3.7426,Sweeper,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,7f7655d0-abb4-11f0-89e1-4103db18a83a,2025
49,"Lewis, JT",2025-10-17,79.43532,-13.98017,2.71189,Sweeper,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,89f197e0-abb4-11f0-89e1-4103db18a83a,2025
50,"Lewis, JT",2025-10-17,78.13732,-14.58391,5.93485,ChangeUp,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,cbfaf550-abb4-11f0-89e1-4103db18a83a,2025
51,"Lewis, JT",2025-10-17,77.99594,-14.55375,3.36099,Slider,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,661ef320-abb5-11f0-89e1-4103db18a83a,2025
52,"Lewis, JT",2025-10-17,78.68211,-15.22824,2.72339,Fastball,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,7b734eb0-abb5-11f0-89e1-4103db18a83a,2025
53,"Lewis, JT",2025-10-17,78.68211,-15.22824,2.72339,ChangeUp,ChangeUp,"Lewis, JT",2025-10-20 03:19:06.178668,7b734eb0-abb5-11f0-89e1-4103db18a83a,2025
54,"Lewis, JT",2025-10-17,76.39394,8.16311,4.41449,Slider,Sweeper,"Lewis, JT",2025-10-20 03:19:16.545145,929cb860-abb5-11f0-89e1-4103db18a83a,2025
55,"Lewis, JT",2025-10-02,86.40904,-11.91709,16.42375,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,8a6e1c70-9fe3-11f0-85e9-e9560c876798,2025
56,"Lewis, JT",2025-10-02,85.78016,-13.05044,12.41135,Sinker,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,a16e5340-9fe3-11f0-85e9-e9560c876798,2025
57,"Lewis, JT",2025-10-02,87.56534,-12.29135,13.71166,Sinker,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,addeae90-9fe3-11f0-85e9-e9560c876798,2025
58,"Lewis, JT",2025-10-02,87.07462,-13.20469,11.83579,Sinker,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,2aede900-9fe4-11f0-85e9-e9560c876798,2025
59,"Lewis, JT",2025-10-02,87.48251,-13.61587,12.29591,Sinker,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,4b056510-9fe4-11f0-85e9-e9560c876798,2025
60,"Lewis, JT",2025-10-10,85.11343,-8.44123,14.11505,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,96710ea0-a633-11f0-8809-a53d21e14008,2025
61,"Lewis, JT",2025-10-10,85.28777,-11.51914,11.48552,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,c03ecf10-a633-11f0-8809-a53d21e14008,2025
62,"Lewis, JT",2025-10-10,86.26798,-8.08355,10.75382,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,cabd6c80-a633-11f0-8809-a53d21e14008,2025
63,"Lewis, JT",2025-10-17,86.09802,-11.13481,13.24375,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,2113a7b0-abb2-11f0-89e1-4103db18a83a,2025
64,"Lewis, JT",2025-10-17,86.62622,-8.76749,9.82768,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,74081320-abb2-11f0-89e1-4103db18a83a,2025
65,"Lewis, JT",2025-10-17,87.46851,-7.62103,11.81209,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,7d56bc10-abb2-11f0-89e1-4103db18a83a,2025
66,"Lewis, JT",2025-10-17,86.15571,-9.23123,10.93753,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,88906c20-abb2-11f0-89e1-4103db18a83a,2025
67,"Lewis, JT",2025-10-17,87.25173,-7.74961,11.25898,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,9297ddc0-abb2-11f0-89e1-4103db18a83a,2025
68,"Lewis, JT",2025-10-17,87.22488,-8.60772,11.77973,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,9c37db00-abb2-11f0-89e1-4103db18a83a,2025
69,"Lewis, JT",2025-10-17,86.65263,-7.90591,11.80166,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,ae0fe110-abb2-11f0-89e1-4103db18a83a,2025
70,"Lewis, JT",2025-10-17,83.49073,-7.34276,12.71438,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,e1502620-abb2-11f0-89e1-4103db18a83a,2025
71,"Lewis, JT",2025-10-17,85.40815,-8.92331,13.53418,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,eaa5ace0-abb2-11f0-89e1-4103db18a83a,2025
72,"Lewis, JT",2025-10-17,87.39256,-8.60674,13.79946,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,7745c710-abb4-11f0-89e1-4103db18a83a,2025
73,"Lewis, JT",2025-10-17,87.83789,-8.18819,11.36131,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,a7ec9c90-abb4-11f0-89e1-4103db18a83a,2025
74,"Lewis, JT",2025-10-17,87.93875,-8.87327,12.3504,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,b1664d20-abb4-11f0-89e1-4103db18a83a,2025
75,"Lewis, JT",2025-10-17,81.61368,-8.28233,15.40824,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,e98fbe20-abb4-11f0-89e1-4103db18a83a,2025
76,"Lewis, JT",2025-10-17,86.30637,-7.81276,13.90682,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,fcb6d970-abb4-11f0-89e1-4103db18a83a,2025
77,"Lewis, JT",2025-10-17,84.63913,-8.4378,15.88611,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,21cf4f30-abb5-11f0-89e1-4103db18a83a,2025
78,"Lewis, JT",2025-10-17,84.5133,-9.04272,16.08056,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,2cb2a1e0-abb5-11f0-89e1-4103db18a83a,2025
79,"Lewis, JT",2025-10-17,85.16902,-9.08654,16.51828,Fastball,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,5b863e00-abb5-11f0-89e1-4103db18a83a,2025
80,"Lewis, JT",2025-10-17,77.79637,-12.32812,10.44233,ChangeUp,Fastball,"Lewis, JT",2025-10-20 03:19:27.372698,880562d0-abb5-11f0-89e1-4103db18a83a,2025
81,"Lewis, JT",2025-10-02,86.3764,-14.95713,8.45922,ChangeUp,Fastball,"Lewis, JT",2025-10-20 03:20:01.759366,76c5c330-9fe3-11f0-85e9-e9560c876798,2025
82,"Lewis, JT",2025-10-10,85.88072,-11.85705,6.81197,ChangeUp,Fastball,"Lewis, JT",2025-10-20 03:20:01.759366,2c540760-a634-11f0-8809-a53d21e14008,2025
83,"McGuire, Tommy",2025-10-18,77.88511,-7.24937,-8.62969,Curveball,Curveball,"McGuire, Tommy",2025-10-20 03:25:00.142674,41f68c00-ac60-11f0-aabc-cd59143e66a4,2025
84,"McGuire, Tommy",2025-10-18,79.12582,-1.70469,-8.98969,Curveball,Curveball,"McGuire, Tommy",2025-10-20 03:25:00.142674,51b7e710-ac60-11f0-aabc-cd59143e66a4,2025
85,"McGuire, Tommy",2025-10-18,77.7321,-6.41815,-2.29488,Sweeper,Curveball,"McGuire, Tommy",2025-10-20 03:25:00.142674,9abe0e30-ac60-11f0-aabc-cd59143e66a4,2025
86,"McGuire, Tommy",2025-10-18,76.71618,-6.42485,-5.35988,Curveball,Curveball,"McGuire, Tommy",2025-10-20 03:25:00.142674,7f291790-ac61-11f0-aabc-cd59143e66a4,2025
87,"McGuire, Tommy",2025-10-18,77.7321,-6.41815,-2.29488,Curveball,Curveball,"McGuire, Tommy",2025-10-20 03:25:00.142674,9abe0e30-ac60-11f0-aabc-cd59143e66a4,2025
88,"Limas, Jacob",2025-10-11,87.51251,10.12441,16.66241,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,1ca6add0-a716-11f0-942a-a51a1eb7334d,2025
89,"Limas, Jacob",2025-10-11,87.09366,2.69721,17.38237,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,357dc780-a716-11f0-942a-a51a1eb7334d,2025
90,"Limas, Jacob",2025-10-11,88.21081,3.91122,17.04454,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,5e70b850-a716-11f0-942a-a51a1eb7334d,2025
91,"Limas, Jacob",2025-10-11,88.05122,2.57524,16.30426,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,6bac04c0-a716-11f0-942a-a51a1eb7334d,2025
92,"Limas, Jacob",2025-10-11,87.31223,6.06886,11.92603,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,cc3eeb40-a716-11f0-942a-a51a1eb7334d,2025
93,"Limas, Jacob",2025-10-11,84.78352,9.05056,12.57225,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,ce66c260-a718-11f0-942a-a51a1eb7334d,2025
94,"Limas, Jacob",2025-10-11,85.18212,4.87256,13.14359,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,08470b20-a719-11f0-942a-a51a1eb7334d,2025
95,"Limas, Jacob",2025-10-11,85.90046,7.15556,16.87595,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,1df6cd20-a719-11f0-942a-a51a1eb7334d,2025
96,"Limas, Jacob",2025-10-11,86.19958,4.14693,17.22103,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,29130a20-a719-11f0-942a-a51a1eb7334d,2025
97,"Limas, Jacob",2025-10-11,85.34105,4.45441,15.92194,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,33a92730-a719-11f0-942a-a51a1eb7334d,2025
98,"Limas, Jacob",2025-10-11,86.1528,7.3439,14.54316,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,6132de30-a719-11f0-942a-a51a1eb7334d,2025
99,"Limas, Jacob",2025-10-11,85.23549,2.63299,13.39729,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,6c896510-a719-11f0-942a-a51a1eb7334d,2025
100,"Limas, Jacob",2025-10-11,85.33212,5.40276,14.96446,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,8411deb0-a719-11f0-942a-a51a1eb7334d,2025
101,"Limas, Jacob",2025-10-11,86.57506,3.0187,13.86513,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,d1b89000-a719-11f0-942a-a51a1eb7334d,2025
102,"Limas, Jacob",2025-10-11,86.52456,3.55012,14.86761,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,dcde1bd0-a719-11f0-942a-a51a1eb7334d,2025
103,"Limas, Jacob",2025-10-11,87.29846,7.99926,13.96398,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,35529c00-a71a-11f0-942a-a51a1eb7334d,2025
104,"Limas, Jacob",2025-10-11,85.02083,5.84776,13.77083,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,40eeb760-a71a-11f0-942a-a51a1eb7334d,2025
105,"Limas, Jacob",2025-10-11,87.22993,5.03815,16.38658,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,5ee639a0-a71a-11f0-942a-a51a1eb7334d,2025
106,"Limas, Jacob",2025-10-11,87.87285,5.34386,16.763,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,6c3f4740-a71a-11f0-942a-a51a1eb7334d,2025
107,"Limas, Jacob",2025-10-11,86.76539,6.64189,14.46076,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,8859a510-a71a-11f0-942a-a51a1eb7334d,2025
108,"Limas, Jacob",2025-10-11,86.37101,9.8828,16.9521,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,98ede080-a71a-11f0-942a-a51a1eb7334d,2025
109,"Limas, Jacob",2025-10-11,87.47704,10.32796,15.49879,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,b2c8fcb0-a71a-11f0-942a-a51a1eb7334d,2025
110,"Limas, Jacob",2025-10-11,86.57356,7.46241,15.88702,Fastball,Fastball,"McGuire, Tommy",2025-10-20 03:27:26.522397,d2847610-a71a-11f0-942a-a51a1eb7334d,2025
111,"Limas, Jacob",2025-10-11,82.7902,-3.78044,2.0298,Cutter,Cutter,"McGuire, Tommy",2025-10-20 03:27:47.876123,27187a00-a716-11f0-942a-a51a1eb7334d,2025
112,"Limas, Jacob",2025-10-11,76.67263,-6.80437,-4.56961,Curveball,Cutter,"McGuire, Tommy",2025-10-20 03:27:47.876123,4f9ec650-a716-11f0-942a-a51a1eb7334d,2025
113,"Limas, Jacob",2025-10-11,83.52525,-1.46102,5.00886,Cutter,Cutter,"McGuire, Tommy",2025-10-20 03:27:47.876123,7f4e4380-a716-11f0-942a-a51a1eb7334d,2025
114,"Limas, Jacob",2025-10-11,82.20562,-5.63579,2.71417,Cutter,Cutter,"McGuire, Tommy",2025-10-20 03:27:47.876123,89f04770-a716-11f0-942a-a51a1eb7334d,2025
115,"Limas, Jacob",2025-10-11,75.23922,-1.34992,-4.8865,Curveball,Cutter,"McGuire, Tommy",2025-10-20 03:27:47.876123,99c37cd0-a716-11f0-942a-a51a1eb7334d,2025
116,"Limas, Jacob",2025-10-11,83.56919,0.40961,4.07768,Cutter,Cutter,"McGuire, Tommy",2025-10-20 03:27:47.876123,aef38780-a716-11f0-942a-a51a1eb7334d,2025
